symbol,date,daily_avg,daily_min,daily_max,daily_count,neg_pct_7d,f9_norm
SOLUSDT,2021-06-09,-2.2216666666666663e-05,-6.088e-05,1.053e-05,3,0.0952380952380952,0.4279
SOLUSDT,2021-06-10,0.0001,0.0001,0.0001,3,0.0952380952380952,0.379
SOLUSDT,2021-06-11,0.0001,0.0001,0.0001,3,0.0952380952380952,0.379
SOLUSDT,2021-06-12,0.0001,0.0001,0.0001,3,0.0952380952380952,0.379
SOLUSDT,2021-06-13,0.0001,0.0001,0.0001,3,0.0952380952380952,0.379
SOLUSDT,2021-06-14,0.0001,0.0001,0.0001,3,0.0952380952380952,0.379
SOLUSDT,2021-06-15,0.0001,0.0001,0.0001,3,0.0952380952380952,0.379
SOLUSDT,2021-06-16,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-06-17,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-06-18,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-06-19,8.428666666666668e-05,5.286e-05,0.0001,3,0.0,0.3663
SOLUSDT,2021-06-20,-3.0413333333333332e-05,-0.00015506,5.139e-05,3,0.0476190476190476,0.4217
SOLUSDT,2021-06-21,-5.5830000000000006e-05,-0.00014527,0.0001,3,0.1428571428571428,0.4509
SOLUSDT,2021-06-22,-0.00023652,-0.00063866,8.849e-05,3,0.238095238095238,0.5422
SOLUSDT,2021-06-23,-0.00020527,-0.00048376,3.778e-05,3,0.3333333333333333,0.5488
SOLUSDT,2021-06-24,-0.0001592233333333,-0.00040513,-3.274e-05,3,0.4761904761904761,0.5589
SOLUSDT,2021-06-25,2.376e-05,-8.45e-06,8.509e-05,3,0.5714285714285714,0.5048
SOLUSDT,2021-06-26,-8.012e-05,-0.00027879,2.356e-05,3,0.6190476190476191,0.5559
SOLUSDT,2021-06-27,3.0776666666666666e-05,-0.00010767,0.0001,3,0.6190476190476191,0.5115
SOLUSDT,2021-06-28,0.0001,0.0001,0.0001,3,0.5238095238095238,0.4648
SOLUSDT,2021-06-29,5.062e-05,-4.814e-05,0.0001,3,0.4761904761904761,0.475
SOLUSDT,2021-06-30,0.0001,0.0001,0.0001,3,0.3809523809523809,0.4362
SOLUSDT,2021-07-01,9.608e-05,8.824e-05,0.0001,3,0.238095238095238,0.4092
SOLUSDT,2021-07-02,0.0001,0.0001,0.0001,3,0.1428571428571428,0.3886
SOLUSDT,2021-07-03,0.0001,0.0001,0.0001,3,0.0952380952380952,0.379
