symbol,date,regime,close,rsi14
BTCUSDT,2015-10-10,sideways,244.94,61.33
BTCUSDT,2015-10-11,sideways,247.05,63.98
BTCUSDT,2015-10-12,sideways,245.31,60.31
BTCUSDT,2015-10-13,bull,249.51,65.45
BTCUSDT,2015-10-14,bull,251.99,68.08
BTCUSDT,2015-10-15,bull,254.32,70.37
BTCUSDT,2015-10-16,bull,262.87,76.89
BTCUSDT,2015-10-17,bull,270.64,80.99
BTCUSDT,2015-10-18,bull,261.64,66.32
BTCUSDT,2015-10-19,bull,263.44,67.58
BTCUSDT,2015-10-20,bull,269.46,71.45
BTCUSDT,2015-10-21,bull,266.27,66.9
BTCUSDT,2015-10-22,bull,274.02,71.63
BTCUSDT,2015-10-23,bull,276.5,72.95
BTCUSDT,2015-10-24,bull,281.65,75.53
BTCUSDT,2015-10-25,bull,283.68,76.47
BTCUSDT,2015-10-26,bull,285.3,77.23
BTCUSDT,2015-10-27,bull,293.79,80.73
BTCUSDT,2015-10-28,bull,304.62,84.09
BTCUSDT,2015-10-29,bull,313.86,86.29
BTCUSDT,2015-10-30,bull,328.02,88.84
BTCUSDT,2015-10-31,bull,314.17,74.3
BTCUSDT,2015-11-01,bull,325.43,77.52
BTCUSDT,2015-11-02,bull,361.19,84.27
BTCUSDT,2015-11-03,bull,403.42,88.61
BTCUSDT,2015-11-04,bull,411.56,89.23
BTCUSDT,2015-11-05,bull,386.35,75.57
BTCUSDT,2015-11-06,bull,374.47,70.12
BTCUSDT,2015-11-07,bull,386.48,72.29
BTCUSDT,2015-11-08,bull,373.37,66.59
BTCUSDT,2015-11-09,bull,380.26,68.02
BTCUSDT,2015-11-10,bull,336.82,52.73
BTCUSDT,2015-11-11,bull,311.08,46.12
BTCUSDT,2015-11-12,bull,338.15,52.82
BTCUSDT,2015-11-13,bull,336.75,52.46
BTCUSDT,2015-11-14,bull,332.91,51.41
BTCUSDT,2015-11-15,bull,320.17,47.99
BTCUSDT,2015-11-16,bull,330.75,50.91
BTCUSDT,2015-11-17,bull,335.09,52.1
BTCUSDT,2015-11-18,bull,334.59,51.94
BTCUSDT,2015-11-19,bull,326.15,49.26
BTCUSDT,2015-11-20,bull,322.02,47.96
BTCUSDT,2015-11-21,bull,326.93,49.66
BTCUSDT,2015-11-22,bull,324.54,48.83
BTCUSDT,2015-11-23,bull,323.05,48.28
BTCUSDT,2015-11-24,bull,320.05,47.13
BTCUSDT,2015-11-25,bull,328.21,50.57
BTCUSDT,2015-11-26,bull,352.68,59.14
BTCUSDT,2015-11-27,bull,358.04,60.75
BTCUSDT,2015-11-28,bull,357.38,60.43
BTCUSDT,2015-11-29,bull,371.29,64.6
BTCUSDT,2015-11-30,bull,377.32,66.26
BTCUSDT,2015-12-01,bull,362.49,58.94
BTCUSDT,2015-12-02,sideways,359.19,57.42
BTCUSDT,2015-12-03,sideways,361.05,58.08
BTCUSDT,2015-12-04,sideways,363.18,58.86
BTCUSDT,2015-12-05,sideways,388.95,66.9
BTCUSDT,2015-12-06,sideways,388.78,66.81
BTCUSDT,2015-12-07,sideways,395.54,68.67
BTCUSDT,2015-12-08,bull,415.56,73.42
BTCUSDT,2015-12-09,bull,417.56,73.85
